,date,open,high,low,close
2779,2020-12-09,19182.84,19260.17,18290.35,18336.51
2780,2020-12-10,18321.29,18647.42,17732.0,18564.99
2781,2020-12-11,18561.1,18561.1,17961.17,18262.06
2782,2020-12-12,18279.58,18279.58,17654.39,18058.03
2783,2020-12-13,18053.18,18881.7,18053.18,18807.1
2784,2020-12-14,18798.42,19365.36,18733.12,19151.13
2785,2020-12-15,19147.46,19310.69,19010.36,19259.97
2786,2020-12-16,19262.12,19524.38,19058.21,19432.36
2787,2020-12-17,19431.79,21387.0,19286.09,21318.0
2788,2020-12-18,21345.0,23625.0,21225.0,22806.0
2789,2020-12-19,22800.0,23233.0,22425.0,23121.0
2790,2020-12-20,23114.0,24073.0,22850.0,23864.0
2791,2020-12-21,23789.0,24225.0,23155.0,23518.0
2792,2020-12-22,23473.0,24084.0,22143.0,22841.0
2793,2020-12-23,22753.0,23814.0,22441.0,23795.0
2794,2020-12-24,23842.0,24056.0,22934.0,23308.0
2795,2020-12-25,23263.0,23790.0,22853.0,23760.0
2796,2020-12-26,23765.0,24728.0,23475.0,24671.0
2797,2020-12-27,24699.0,26718.0,24542.0,26476.0
2798,2020-12-28,26484.0,28336.0,25914.0,26423.0
2799,2020-12-29,26271.0,27389.0,26271.0,27125.0
2800,2020-12-30,27093.0,27425.0,26098.0,27425.0
2801,2020-12-31,27438.0,28985.0,27438.0,28837.0
2802,2021-01-01,28920.0,29286.0,28239.0,29022.0
2803,2021-01-02,29026.0,29601.0,28829.0,29352.0
2804,2021-01-03,29335.0,33278.0,29050.0,32164.0
2805,2021-01-04,32247.0,34685.0,32071.0,33008.0
2806,2021-01-05,33177.0,33575.0,28273.0,31516.0
2807,2021-01-06,31538.0,34483.0,30321.0,34082.0
2808,2021-01-07,34042.0,37017.0,33629.0,36934.0
2809,2021-01-08,36894.0,40180.0,36530.0,39547.0
2810,2021-01-09,39539.0,41940.0,37029.0,40816.0
2811,2021-01-10,40852.0,41391.0,39000.0,40297.0
2812,2021-01-11,40292.0,41568.0,36051.0,38398.0
2813,2021-01-12,38452.0,38452.0,30469.0,35670.0
2814,2021-01-13,35608.0,36633.0,32740.0,33938.0
2815,2021-01-14,34064.0,37694.0,32623.0,37456.0
2816,2021-01-15,37414.0,40039.0,36929.0,39233.0
2817,2021-01-16,39093.0,39523.0,34771.0,36788.0
2818,2021-01-17,36887.0,37835.0,35572.0,36255.0
2819,2021-01-18,36117.0,36752.0,34192.0,35804.0
2820,2021-01-19,35750.0,37240.0,34901.0,36595.0
2821,2021-01-20,36747.0,37690.0,36105.0,36105.0
2822,2021-01-21,35978.0,36318.0,33636.0,35587.0
2823,2021-01-22,35606.0,35606.0,30358.0,30914.0
2824,2021-01-23,30802.0,33771.0,29043.0,32958.0
2825,2021-01-24,32867.0,33328.0,31481.0,32068.0
2826,2021-01-25,32066.0,32927.0,31089.0,32274.0
2827,2021-01-26,32263.0,34741.0,32071.0,32375.0
2828,2021-01-27,32223.0,32802.0,30973.0,32582.0
2829,2021-01-28,32531.0,32531.0,29429.0,30446.0
2830,2021-01-29,30537.0,33716.0,29975.0,33128.0
2831,2021-01-30,33308.0,38429.0,32078.0,34151.0
2832,2021-01-31,34279.0,34740.0,32904.0,34200.0
2833,2021-02-01,34077.0,34156.0,32262.0,33065.0
2834,2021-02-02,33040.0,34542.0,32342.0,33406.0
2835,2021-02-03,33423.0,35858.0,33421.0,35486.0
2836,2021-02-04,35478.0,37576.0,35377.0,37495.0
2837,2021-02-05,37725.0,38615.0,36244.0,36817.0
2838,2021-02-06,36900.0,38237.0,36673.0,38008.0
